Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of July 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
44,Upgrading of Provincial Road Jct. Nhwy. Brgy. Teresita,Sto. Niño,2018 20% LDF,7.78%,5.48%,2.30%," 14,990,000.00 ",135,6/28/18,11/9/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
45,Concreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,92.98%,100.00%,-7.02%," 9,980,267.35 ",170,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; time extension #2 is on process
46,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,60.37%,81.25%,-20.88%," 3,992,761.71 ",90,4/10/18,8/12/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going
47,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.90%,95.08%,-34.18%," 24,961,302.94 ",340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018"
48,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,35.92%,100.00%,-64.08%," 4,995,579.03 ",80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issues: 1.lack of equipments & man power; 2.Veryslow implementation of project
49,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,35.69%,26.17%,9.52%," 19,990,000.00 ",180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
50,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,28.70%,13.26%,15.44%," 2,992,000.00 ",175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going
51,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,2018 CONT. APPROP. GF #308,14.15%,55.13%,-40.98%," 2,425,980.27 ",120,5/21/18,9/17/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On-going
,CMGP,,,,,,,,,,,,,
1,Upgrading of Banga-lamba-Derilon-Lampari Road,Banga/ Surallah,CMGP CY 2017,100.00%,100.00%,," 70,700,000.00 ",150,10/10/17,5/27/18,6/30/18,MJ Dauz,FREDEN CONSTRUCTION,Completed
2,Upgrading of Jct. Palkan-Cannery-Jct. Upper Klinan Road,Polomolok,CMGP CY 2017,45.34%,72.76%,-27.42%," 65,098,979.00 ",140,10/10/17,5/7/18,,A. Librado,RITCHIE-NATHALIE BUILDERS & GEM. MDSE,"Suspended as of April 25, 2018 major issues: due to frequent unfavorable weather condition the targeted elevation for proposed lined canal find difficult to prepare alignment and layout batterboard"
3,Upgrading of Maltana-Lambayong Road,Tampakan,CMGP CY 2017,100.00%,100.00%,," 49,682,481.35 ",45,10/25/17,7/27/18,7/27/18,A. Barrientos,REYDAN BUILDERS,Completed
4,Upgrading of National Highway Jct.-M.Roxas-Poblacion Sto.Niño Road,Sto. Niño,CMGP CY 2017,100.00%,99.62%,0.38%," 57,041,016.88 ",135,10/25/17,7/16/18,7/15/18,A. DEMETILLO,BETTER WORK CONSTRUCTION,Completed
5,Upgrading of NHWY Jct. Colungulo-Moloy-Duengas-Talahik Road,Surallah,CMGP CY 2017,80.11%,100.00%,-19.89%," 41,120,974.15 ",115,10/10/17,6/7/18,,ME Dondiego,BETTER WORK CONSTRUCTION,On-going
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,GENEROSA P. CAPUNDAN,,,"MARNILO S. APEROCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,Assistant Provincial Engineer,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
