Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of December 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started,,,,,
33,"Construction of Day Care Center, Brgy. Dumadalig",Tantangan,2018 CONT. APPRO SEF #46,6.54%,9.20%,-2.66%," 1,389,437.49 ",90,11/21/18,2/18/19,,S RENTOZA,JANMARIE CONST. SERVICE & SUPPLY,On-going
34,"Installation of Power and Water System @ IPEMC, Brgy. Tinongcop",Tantangan,2018 20% LDF 5.2.2,81.81%,100.00%,-18.19%," 397,522.86 ",50,11/4/18,12/23/18,,S RENTOZA,THREE G BUILDERS,On-going
35,"Construction of Multipurpose Building, Brgy. Poblacion",Tantangan,2018 20% LDF ,0.35%,2.77%,-2.42%," 3,085,788.47 ",120,12/9/18,4/7/19,,S RENTOZA,MIGO CONSTRUCITON,On-going
36,"Repair of Senior Citizen Building & Construciton of Covered Area with Stage, Brgy. Rang-ay",Banga,CY 2018 CONT. APPROP. GF# 256 & 58,81.21%,37.13%,44.08%," 1,492,117.32 ",125,9/5/18,1/7/19,,MJ Dauz,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
37,"Const. of Multi Purpose Building (Barangay Hall), Brgy. Punong Grande",Banga,CY 2018 20% LDF,19.94%,21.50%,-1.56%," 3,191,578.09 ",120,11/14/18,3/13/19,,MJ Dauz,C.A. BETALAC CONST. & GEN. MDSE.,On-going
38,"Labor for the Completion of Water-Irrigation System @ provincial Scion Grove, Nursery, Research and Demo Farm",Banga,2018 CONT. APPRO GF 3 139,80.00%,,," 126,000.00 ",45,11/14/18,12/28/18,,MJ Dauz,C.A. BETALAC CONST. & GEN. MDSE.,"Suspended as of Dec. 21, 2018 due to insufficient materials provided for construction of pump house"
39,"Establishment of Food Processing & Demontration Area @ provincial Scion Grove, Nursery, Research & Demo Farm",Banga,2018 20% LDF ,2.31%,2.35%,-0.04%," 1,447,878.28 ",95,11/27/18,3/1/19,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going
40,"Construction of Three CL (7x9) Building with Attached Toilet, Rang-ay Integrated School",Banga,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.00%,0.49%,-0.49%," 2,995,385.13 ",150,12/20/18,5/18/19,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going
41,Construction of Sports Learning Center @ Lamba NHS (Matlong Campus),Banga,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,6.68%,0.51%,6.17%," 3,095,811.60 ",130,12/10/18,4/18/19,,MJ Dauz,C.A. BETALAC CONST. & GEN. MDSE.,On-going
42,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,61.59%,91.06%,-29.47%," 2,700,099.48 ",175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,"Suspended as of October 30, 2018 due to Variation order"
