Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of March  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
31,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,56.31%,66.30%,-9.99%," 4,994,185.24 ",90,12/20/17,3/19/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Suspended due to relocation of boundaries
32,Rehabilitation of Albagan Road,Tampakan,,49.37%,50.64%,-1.27%," 5,986,721.47 ",100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site."
33,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,62.09%,75.19%,-13.10%," 4,033,389.66 ",140,11/28/17,4/16/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; Time extension is on process.
34,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.17%,29.56%,-13.39%," 2,987,473.44 ",90,12/26/17,3/25/18,,A BARRIENTOS,MFN BUILDERS,On-going; Time extension is on process.
35,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,64.01%,100.00%,-35.99%," 1,190,000.00 ",60,12/19/17,2/16/18,,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going
36,"Improvement of Facilities @ Provincial Scion Grove, Nursery & Demo Farm: Const. of 800m Perimeter",Banga,CY 2017 20% LDF,95.75%,100.00%,-4.25%," 4,935,544.56 ",150,8/29/17,1/25/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
37,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05%,100.00%,-22.95%," 264,308.97 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
38,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58%,100.00%,-24.42%," 288,485.65 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
39,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,56.89%,65.57%,-8.68%," 1,515,778.02 ",70,9/24/17,4/21/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On going
40,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,82.98%,100.00%,-17.02%," 1,761,935.91 ",100,11/5/17,2/12/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
41,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,0.00%,11.20%,-11.20%," 2,205,000.00 ",120,1/2/18,5/1/18,,MJ Dauz,FREDEN CONSTRUCTION,Project suspended due to quarry negotiations
42,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,3.34%,15.45%,-12.11%," 11,988,000.00 ",140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
43,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans."
44,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,80.22%,100.00%,-19.78%," 11,438,082.05 ",230,7/30/17,3/16/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,Variation order & Time extension is on process
45,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,70.74%,78.21%,-7.47%," 14,992,780.22 ",125,11/8/17,3/12/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going
46,"Completion of Senior Citizen Bldg., Brgy. Kibid",Norala,CY 2017 20% LDF,100.00%,100.00%,0.00%," 134,826.72 ",18,1/22/18,2/8/18,3/5/18,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,Completed
47,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,19.19%,-17.71%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 9, 2018 due to revision of plan approved  original plan is not suitable on site."
48,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,73.76%,100.00%,-26.24%," 1,319,000.00 ",60,12/19/17,2/16/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 9, 2018; Subject for liquidated damages"
49,Const. of Guardrail along Jct. Nhwy.-Guinsang-an Provincial Road (Sitio Sta. Cruz),Sto. Niño,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,370,930.04 ",60,12/20/17,2/17/18,3/9/18,ME Dondiego,FH GOPITEO CONST. & SUPPLY,Completed
50,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,68.01%,29.82%,38.19%," 1,994,000.00 ",120,1/18/18,5/17/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
51,"Completion of Liga Hall, Municipal hall Cmpd., Pob.",Sto. Niño,CY 2017 20% LDF,100.00%,100.00%,0.00%," 991,000.00 ",75,1/10/18,3/25/18,,K SERVAÑEZ,FREDEN CONSTRUCTION,Completed
52,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,95.75%,100.00%,-4.25%," 24,830,790.34 ",345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY (formerly: CS CONSTRUCTION/COFEJOK CONST. & SUPPLY CORP.-JOINT VENTURE,On-going; the contractor has committed to finish the project despite the liquidated damages incurred
53,Conc. Of Modon-Upper Sepaka Road,Surallah,CY 2017 20% LDF,87.99%,89.57%,-1.58%," 9,970,794.40 ",110,11/8/17,2/25/18,,ME Dondiego,MFN BUILDERS,On-going
54,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,29.36%,39.89%,-10.53%," 2,989,004.51 ",105,1/18/18,5/2/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going
55,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,14.50%,31.66%,-17.16%," 8,494,519.47 ",125,1/2/18,5/6/18,,ME Dondiego,HEXAMINDS CORPORATION,On-going
56,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,30.59%,50.44%,-19.85%," 9,980,267.35 ",125,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
57,Construction of Stage. Brgy. Bacdulong,Lake Sebu,CY 2016 PDRMMF-IP,67.78%,77.79%,-10.01%," 911,110.26 ",90,1/11/18,4/10/18,,A SOBREVEGA,KING BUILDERS CONST. & SUPPLY,On-going
58,"Completion Brgy. Hall, Brgy. Seloton",Lake Sebu,CY 2016 PDRMMF-IP,100.00%,100.00%,0.00%," 593,841.73 ",50,1/11/18,3/1/18,3/1/18,A SOBREVEGA,KGD BUILDERS,Completed
59,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,70.47%,70.72%,-0.25%," 4,992,486.84 ",85,11/9/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
60,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,51.29%,34.19%,17.10%," 24,961,302.94 ",265,6/25/17,3/16/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
61,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,16.05%,32.34%,-16.29%," 4,995,579.03 ",80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going
