Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of August 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
42,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,44.07%,100.00%,-55.93%," 4,995,579.03 ",80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issues: 1.lack of equipments & man power; 2.Veryslow implementation of project
43,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,63.91%,47.52%,16.39%," 19,990,000.00 ",180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
44,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,56.89%,34.56%,22.33%," 2,992,000.00 ",175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going
45,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,2018 CONT. APPROP. GF #308,75.12%,91.72%,-16.60%," 2,425,980.27 ",120,5/21/18,9/17/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On-going
46,Rehabilitation of Lamdalag - Lamcade - Klubi Rd,Lake Sebu,2018 Cont. Appro GF#318,0.33%,0.95%,-0.62%," 7,153,222.57 ",125,8/15/18,12/17/18,,A SOBREVEGA,THREE G BUILDERS,On-going
47,Construction of Dog Impounding facility Ecological Park,Surallah,CY 2018 Cont. Appro GF # 316,,0.21%,-0.21%," 1,791,047.18 ",90,8/15/18,11/12/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,Suspended due to project location & revision of plan
48,Installation of Lined Canal along Sta. cruz - Magsaysay Bdrt Road,Tampakan,LDF Counterpart to CMGP,14.66%,12.30%,2.36%," 1,671,780.30 ",90,8/7/18,11/4/18,,A BARRIENTOS,PASE CONSTRUCTION,On-going
49,Installation of Lined Canal along Crossing Verayo - Lambontong Rd,Surallah,CY 2018 20% LDF 4.6.1,4.67%,0.50%,4.17%," 2,632,134.06 ",110,8/21/18,12/8/18,,CJ HICBAN,DAVAO SANTHONY BUILDERS CORP.,On-going
,CMGP,,,,,,,,,,,,,
1,Upgrading of Jct Nhwy. Palkan-Cannery-Jct. Upper Klinan Road (2018),Polomolok,CMGP CY 2018,1.22%,0.90%,0.32%," 23,929,475.94 ",168,8/7/18,1/21/19,,J JANUTO,PASE CONSTRUCTION,On-going
