Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of April  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
31,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,56.31%,66.30%,-9.99%," 4,994,185.24 ",90,12/20/17,3/19/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Suspended due to relocation of boundaries
32,Rehabilitation of Albagan Road,Tampakan,,49.37%,50.64%,-1.27%," 5,986,721.47 ",100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site."
33,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,62.09%,75.19%,-13.10%," 4,033,389.66 ",140,11/28/17,4/16/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; Time extension is on process.
34,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45%,61.29%,-44.84%," 2,987,473.44 ",135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,On-going
35,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,83.64%,100.00%,-16.36%," 1,190,000.00 ",60,12/19/17,3/18/18,,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going
36,"Improvement of Facilities @ Provincial Scion Grove, Nursery & Demo Farm: Const. of 800m Perimeter",Banga,CY 2017 20% LDF,100.00%,100.00%,0.00%," 4,935,544.56 ",150,8/29/17,3/26/18,3/26/18,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
37,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05%,100.00%,-22.95%," 264,308.97 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; no activity
38,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58%,100.00%,-24.42%," 288,485.65 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
39,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,95.44%,100.00%,-4.56%," 1,515,778.02 ",70,9/24/17,4/20/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On going
40,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,95.01%,100.00%,-4.99%," 1,761,935.91 ",100,11/5/17,3/4/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
41,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,0.00%,,," 2,205,000.00 ",120,1/2/18,5/1/18,,MJ Dauz,FREDEN CONSTRUCTION,"Project suspended as of JA. 22, 2018 due to quarry negotiations"
42,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,22.54%,30.49%,-7.95%," 11,988,000.00 ",140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going; contractor submitted revised PERT/CPM
43,"Labor for the Inst. Of Pumping Station and Irrigation System Provincial Scion Grove, Nursery, Research & Demo Farm",Banga,CY 2018 CONT. APPROP. GF #48,100.00%,100.00%,," 36,000.00 ",30,3/19/18,4/17/18,,MJ Dauz,ROMEO TERCINO,Completed
44,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans."
45,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,96.99%,100.00%,-3.01%," 11,438,082.05 ",230,7/30/17,3/16/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,"On-going; project expired last Apr. 11, 2018"
46,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,87.53%,92.52%,-4.99%," 14,992,780.22 ",125,11/8/17,4/11/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going; Time extension is on process.
47,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,19.19%,-17.71%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 9, 2018 due to revision of plan approved  original plan is not suitable on site."
48,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,82.71%,100.00%,-17.29%," 1,319,000.00 ",60,12/19/17,2/16/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 9, 2018; Subject for liquidated damages"
49,Completion of Gym @ Brgy. Tinago,Norala,CY 2018 CONT. APPROP. GF #318,39.42%,47.75%,-8.33%," 993,609.25 ",60,3/25/18,5/23/18,,A SOBREVEGA,THREE G BUILDERS,On-going
50,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,0.00%,0.31%,-0.31%," 1,962,026.71 ",100,4/8/18,7/16/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
51,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,A SOBREVEGA,FREDEN CONSTRUCTION,On-going
52,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,88.06%,71.25%,16.81%," 1,994,000.00 ",120,1/18/18,5/17/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
53,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,95.75%,100.00%,-4.25%," 24,830,790.34 ",345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY (formerly: CS CONSTRUCTION/COFEJOK CONST. & SUPPLY CORP.-JOINT VENTURE,On-going; the contractor has committed to finish the project despite the liquidated damages incurred
54,Conc. Of Modon-Upper Sepaka Road,Surallah,CY 2017 20% LDF,100.00%,100.00%,0.00%," 9,970,794.40 ",110,11/8/17,2/25/18,,ME Dondiego,MFN BUILDERS,Completed
55,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,36.86%,89.18%,-52.32%," 2,989,004.51 ",105,1/18/18,5/2/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going
56,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,23.33%,83.58%,-60.25%," 8,494,519.47 ",125,1/2/18,5/6/18,,ME Dondiego,HEXAMINDS CORPORATION,On-going
57,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,0.13%,0.13%,0.00%," 2,990,518.48 ",125,4/19/18,8/21/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
58,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,48.68%,71.60%,-22.92%," 9,980,267.35 ",125,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
59,Construction of Stage. Brgy. Bacdulong,Lake Sebu,CY 2016 PDRMMF-IP,100.00%,100.00%,0.00%," 911,110.26 ",90,1/11/18,4/10/18,4/10/18,A SOBREVEGA,KING BUILDERS CONST. & SUPPLY,Completed
60,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,0.00%,3.41%,-3.41%," 3,992,761.71 ",90,4/10/18,7/8/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going
